Label,Num,Adjectives
P-High,1,reckless
P-High,2,unpredictable
P-High,3,narcissistic
P-High,4,daring
P-High,5,unconventional
P-High,6,mercurial
P-High,7,callous
P-High,8,adrenaline-fueled
P-High,9,enigmatic
P-High,10,unapologetic
P-High,11,reckless
P-High,12,unpredictable
P-High,13,narcissistic
P-High,14,daring
P-High,15,unconventional
P-High,16,mercurial
P-High,17,callous
P-High,18,adrenaline-fueled
P-High,19,enigmatic
P-High,20,unapologetic
M-High,1,machiavellian
M-High,2,scheming
M-High,3,calculating
M-High,4,cunning
M-High,5,mercenary
M-High,6,devious
M-High,7,ambitious
M-High,8,manipulative
M-High,9,exploitative
M-High,10,nefarious
M-High,11,machiavellian
M-High,12,scheming
M-High,13,calculating
M-High,14,cunning
M-High,15,mercenary
M-High,16,devious
M-High,17,ambitious
M-High,18,manipulative
M-High,19,exploitative
M-High,20,nefarious
P-Low,1,compassionate
P-Low,2,reflective
P-Low,3,introspective
P-Low,4,considerate
P-Low,5,emotionally
P-Low,6,thoughtful
P-Low,7,solicitous
P-Low,8,prudent
P-Low,9,sympathetic
P-Low,10,responsible
P-Low,11,compassionate
P-Low,12,reflective
P-Low,13,introspective
P-Low,14,considerate
P-Low,15,emotionally
P-Low,16,thoughtful
P-Low,17,solicitous
P-Low,18,prudent
P-Low,19,sympathetic
P-Low,20,responsible
N-Low,1,unassuming
N-Low,2,self-effacing
N-Low,3,modest
N-Low,4,unpretentious
N-Low,5,low-key
N-Low,6,unobtrusive
N-Low,7,demure
N-Low,8,unostentatious
N-Low,9,unassuming
N-Low,10,muted
N-Low,11,unassuming
N-Low,12,self-effacing
N-Low,13,modest
N-Low,14,unpretentious
N-Low,15,low-key
N-Low,16,unobtrusive
N-Low,17,demure
N-Low,18,unostentatious
N-Low,19,unassuming
N-Low,20,muted
M-Low,1,unimpeachable
M-Low,2,direct
M-Low,3,unwavering
M-Low,4,authentic
M-Low,5,decorum
M-Low,6,transparency
M-Low,7,unflinching
M-Low,8,accountable
M-Low,9,reliable
M-Low,10,unshakeable
M-Low,11,unimpeachable
M-Low,12,direct
M-Low,13,unwavering
M-Low,14,authentic
M-Low,15,decorum
M-Low,16,transparency
M-Low,17,unflinching
M-Low,18,accountable
M-Low,19,reliable
M-Low,20,unshakeable
N-High,1,egotistical
N-High,2,arrogant
N-High,3,conceited
N-High,4,pompous
N-High,5,superior
N-High,6,self-absorbed
N-High,7,haughty
N-High,8,overbearing
N-High,9,vain
N-High,10,grandiose
N-High,11,egotistical
N-High,12,arrogant
N-High,13,conceited
N-High,14,pompous
N-High,15,superior
N-High,16,self-absorbed
N-High,17,haughty
N-High,18,overbearing
N-High,19,vain
N-High,20,grandiose
P-High,-1,heady
P-High,-1,heedless
P-High,-1,rash
P-High,-1,foolhardy
P-High,-1,reckless
P-High,-1,unpredictable
P-High,-1,irregular
P-High,-1,self-loving
P-High,-1,egotistical
P-High,-1,narcissistic
P-High,-1,egotistic
P-High,-1,venturous
P-High,-1,avant-garde
P-High,-1,daring
P-High,-1,audacious
P-High,-1,venturesome
P-High,-1,unconventional
P-High,-1,unlawful
P-High,-1,improper
P-High,-1,mercurial
P-High,-1,fickle
P-High,-1,quicksilver
P-High,-1,erratic
P-High,-1,indurate
P-High,-1,calloused
P-High,-1,callous
P-High,-1,pachydermatous
P-High,-1,enigmatical
P-High,-1,oracular
P-High,-1,enigmatic
P-High,-1,puzzling
P-High,-1,unapologetic
M-High,-1,machiavellian
M-High,-1,calculative
M-High,-1,shrewd
M-High,-1,scheming
M-High,-1,conniving
M-High,-1,calculating
M-High,-1,cunning
M-High,-1,cute
M-High,-1,crafty
M-High,-1,dodgy
M-High,-1,worldly-minded
M-High,-1,free-lance
M-High,-1,materialistic
M-High,-1,mercenary
M-High,-1,shifty
M-High,-1,oblique
M-High,-1,devious
M-High,-1,ambitious
M-High,-1,challenging
M-High,-1,manipulative
M-High,-1,exploitative
M-High,-1,exploitatory
M-High,-1,exploitive
M-High,-1,villainous
M-High,-1,nefarious
P-Low,-1,compassionate
P-Low,-1,brooding
P-Low,-1,broody
P-Low,-1,meditative
P-Low,-1,musing
P-Low,-1,contemplative
P-Low,-1,self-examining
P-Low,-1,introspective
P-Low,-1,introverted
P-Low,-1,considerate
P-Low,-1,heedful
P-Low,-1,thoughtful
P-Low,-1,serious-minded
P-Low,-1,solicitous
P-Low,-1,prudent
P-Low,-1,benevolent
P-Low,-1,sympathetic
P-Low,-1,charitable
P-Low,-1,kindly
P-Low,-1,responsible_for
P-Low,-1,creditworthy
P-Low,-1,responsible
N-Low,-1,unassuming
N-Low,-1,retiring
N-Low,-1,self-effacing
N-Low,-1,reticent
N-Low,-1,small
N-Low,-1,modest
N-Low,-1,understated
N-Low,-1,unpretending
N-Low,-1,unostentatious
N-Low,-1,unpretentious
N-Low,-1,low-key
N-Low,-1,low-keyed
N-Low,-1,subdued
N-Low,-1,unobtrusive
N-Low,-1,unnoticeable
N-Low,-1,demure
N-Low,-1,overmodest
N-Low,-1,coy
N-Low,-1,dull
N-Low,-1,quiet
N-Low,-1,hushed
N-Low,-1,muted
M-Low,-1,blameless
M-Low,-1,inculpable
M-Low,-1,unimpeachable
M-Low,-1,irreproachable
M-Low,-1,direct
M-Low,-1,lineal
M-Low,-1,unmediated
M-Low,-1,stiff
M-Low,-1,firm
M-Low,-1,steadfast
M-Low,-1,unbendable
M-Low,-1,steady
M-Low,-1,authentic
M-Low,-1,unquestionable
M-Low,-1,reliable
M-Low,-1,bona_fide
M-Low,-1,unblinking
M-Low,-1,unshrinking
M-Low,-1,unflinching
M-Low,-1,unintimidated
M-Low,-1,accountable
M-Low,-1,dependable
M-Low,-1,honest
N-High,-1,egotistical
N-High,-1,self-loving
N-High,-1,conceited
N-High,-1,narcissistic
N-High,-1,egotistic
N-High,-1,arrogant
N-High,-1,chesty
N-High,-1,self-important
N-High,-1,self-conceited
N-High,-1,swollen
N-High,-1,portentous
N-High,-1,pompous
N-High,-1,pontifical
N-High,-1,overblown
N-High,-1,grandiloquent
N-High,-1,superior
N-High,-1,superscript
N-High,-1,self-involved
N-High,-1,self-absorbed
N-High,-1,imperious
N-High,-1,lordly
N-High,-1,disdainful
N-High,-1,overbearing
N-High,-1,haughty
N-High,-1,authoritarian
N-High,-1,dictatorial
N-High,-1,highfalutin
N-High,-1,grandiose
N-High,-1,highfaluting
N-High,-1,hifalutin
P-Low,-2,predictable
P-Low,-2,conventional
P-Low,-2,apologetic
M-Low,-2,unambitious
P-High,-2,uncompassionate
P-High,-2,nonreflective
P-High,-2,extrospective
P-High,-2,inconsiderate
