MAC1,NAR1,PSY1,MAC2,NAR2,PSY2,MAC3,NAR3,PSY3,MAC4,NAR4,PSY4,MAC5,NAR5,PSY5,MAC6,NAR6,PSY6,MAC7,NAR7,PSY7,MAC8,NAR8,PSY8,MAC9,NAR9,PSY9,MAC_Score,NAR_Score,PSY_Score
5,5,5,5,1,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,2,5,5,2,5,5.0,4.111111111111111,4.444444444444445
5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5.0,3.6666666666666665,4.111111111111111
5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5.0,3.7777777777777777,4.111111111111111
5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5.0,2.888888888888889,4.444444444444445
5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,2,5,5,5,2,5,1,5,5,2,5,5.0,4.0,4.444444444444445
5,5,5,5,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,2,5,5,2,5,5.0,4.0,4.444444444444445
5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,2,5,5.0,4.111111111111111,4.111111111111111
5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5.0,3.6666666666666665,4.111111111111111
5,5,5,5,1,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,5.0,3.6666666666666665,4.444444444444445
5,5,5,5,5,2,5,5,5,5,1,5,5,5,5,5,2,5,5,5,5,5,2,5,5,2,5,5.0,3.5555555555555554,4.444444444444445
5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5.0,3.6666666666666665,4.111111111111111
5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,2,5,2,5,5,1,5,5.0,3.888888888888889,4.444444444444445
5,5,5,5,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,2,5,5.0,4.111111111111111,4.444444444444445
5,5,5,5,1,5,5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,2,5,5,2,5,5.0,4.222222222222222,4.111111111111111
5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,2,5,5,5,5,2,5,5.0,3.6666666666666665,4.444444444444445
5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,2,5,5,5,5,5,2,5,5,2,5,5.0,3.5555555555555554,4.111111111111111
5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5.0,3.7777777777777777,4.111111111111111
5,5,5,5,1,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,1,5,5.0,3.2222222222222223,4.777777777777778
5,5,5,5,2,2,5,5,5,5,2,5,5,5,5,5,1,5,5,5,5,5,2,5,5,2,5,5.0,4.111111111111111,4.444444444444445
5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5.0,3.7777777777777777,4.111111111111111
