MAC1,NAR1,PSY1,MAC2,NAR2,PSY2,MAC3,NAR3,PSY3,MAC4,NAR4,PSY4,MAC5,NAR5,PSY5,MAC6,NAR6,PSY6,MAC7,NAR7,PSY7,MAC8,NAR8,PSY8,MAC9,NAR9,PSY9,MAC_Score,NAR_Score,PSY_Score,MAC_Score_Comparison,NAR_Score_Comparison,PSY_Score_Comparison
1,5,5,2,1,2,5,2,2,2,1,5,1,5,5,1,5,5,1,5,2,2,5,5,5,2,5,2.2222222222222223,3.0,4.444444444444445,low,high,high
2,1,5,5,1,2,2,2,5,2,5,5,2,1,5,1,1,5,2,5,2,5,3,1,2,5,5,2.555555555555556,3.555555555555556,4.333333333333333,low,high,high
5,1,1,5,2,2,1,2,5,1,1,5,1,5,5,5,5,5,1,5,5,5,5,1,5,1,5,3.2222222222222223,2.333333333333333,3.555555555555556,high,low,high
5,1,5,2,1,2,2,5,5,2,1,5,2,5,5,5,5,5,1,1,1,5,5,5,5,5,5,3.2222222222222223,2.7777777777777777,4.888888888888889,high,low,high
2,1,5,5,2,2,1,1,5,1,2,5,2,5,5,2,5,5,2,1,2,5,5,1,2,2,5,2.4444444444444446,2.0,4.333333333333333,low,low,high
1,5,5,5,2,2,5,2,5,2,1,5,2,1,5,2,1,2,2,1,2,5,1,1,5,1,5,3.2222222222222223,2.7777777777777777,4.0,high,low,high
1,1,5,2,1,2,2,5,5,5,1,5,5,1,5,2,5,5,5,5,2,5,1,1,2,5,2,3.2222222222222223,3.2222222222222223,4.0,high,high,high
2,1,1,2,5,2,2,5,5,1,5,5,2,2,5,5,1,2,2,5,2,5,5,1,2,2,5,2.555555555555556,3.0,3.555555555555556,low,high,high
1,1,5,5,1,2,2,2,5,2,1,5,5,1,5,5,1,5,2,1,2,5,5,5,5,1,5,3.555555555555556,2.0,4.777777777777778,high,low,high
5,1,2,5,5,2,2,1,5,1,1,5,2,5,5,2,1,5,2,1,2,5,5,5,2,1,2,2.888888888888889,1.8888888888888888,4.111111111111111,low,low,high
5,1,5,5,1,2,1,1,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,3.7777777777777777,2.7777777777777777,4.444444444444445,high,low,high
5,1,5,5,2,2,2,5,5,5,1,5,5,2,5,2,5,2,2,5,2,5,4,1,5,2,5,4.0,2.555555555555556,4.0,high,low,high
1,1,5,5,1,2,2,1,5,5,1,5,2,5,5,2,1,5,2,5,2,5,1,5,5,1,5,3.2222222222222223,3.2222222222222223,4.777777777777778,high,high,high
5,1,5,5,5,2,5,5,5,1,5,5,2,5,5,2,5,5,5,5,2,5,5,5,5,2,5,3.888888888888889,2.888888888888889,4.777777777777778,high,low,high
5,1,1,2,5,2,2,5,5,2,5,5,1,5,5,2,5,5,2,5,5,5,1,1,2,1,5,2.555555555555556,3.2222222222222223,3.555555555555556,low,high,high
5,1,5,5,1,2,1,1,5,1,5,5,2,1,5,2,5,2,2,5,2,5,5,1,2,2,5,2.7777777777777777,2.4444444444444446,4.0,low,low,high
5,1,5,5,1,2,2,1,2,2,2,5,5,5,5,2,1,5,5,1,2,5,3,1,2,1,2,3.6666666666666665,2.6666666666666665,3.6666666666666665,high,low,high
1,2,5,5,2,2,1,2,5,5,1,5,5,5,5,5,5,5,1,1,2,5,5,5,2,1,2,3.333333333333333,2.0,4.444444444444445,high,low,high
2,2,5,2,5,2,1,5,5,2,1,5,5,5,5,2,1,5,2,1,2,5,3,1,2,1,5,2.555555555555556,2.6666666666666665,4.333333333333333,low,low,high
5,1,5,5,1,2,2,5,5,1,5,5,1,5,5,5,1,5,1,5,2,5,5,1,5,1,5,3.333333333333333,3.6666666666666665,4.333333333333333,high,high,high
