MAC1,NAR1,PSY1,MAC2,NAR2,PSY2,MAC3,NAR3,PSY3,MAC4,NAR4,PSY4,MAC5,NAR5,PSY5,MAC6,NAR6,PSY6,MAC7,NAR7,PSY7,MAC8,NAR8,PSY8,MAC9,NAR9,PSY9,MAC_Score,NAR_Score,PSY_Score
1,5,5,2,1,2,5,2,2,2,1,5,1,5,5,1,5,5,1,5,2,2,5,5,5,2,5,2.2222222222222223,3.0,4.444444444444445
2,1,5,5,1,2,2,2,5,2,5,5,2,1,5,1,1,5,2,5,2,5,3,1,2,5,5,2.5555555555555554,3.5555555555555554,4.333333333333333
5,1,1,5,2,2,1,2,5,1,1,5,1,5,5,5,5,5,1,5,5,5,5,1,5,1,5,3.2222222222222223,2.3333333333333335,3.5555555555555554
5,1,5,2,1,2,2,5,5,2,1,5,2,5,5,5,5,5,1,1,1,5,5,5,5,5,5,3.2222222222222223,2.7777777777777777,4.888888888888889
2,1,5,5,2,2,1,1,5,1,2,5,2,5,5,2,5,5,2,1,2,5,5,1,2,2,5,2.4444444444444446,2.0,4.333333333333333
1,5,5,5,2,2,5,2,5,2,1,5,2,1,5,2,1,2,2,1,2,5,1,1,5,1,5,3.2222222222222223,2.7777777777777777,4.0
1,1,5,2,1,2,2,5,5,5,1,5,5,1,5,2,5,5,5,5,2,5,1,1,2,5,2,3.2222222222222223,3.2222222222222223,4.0
2,1,1,2,5,2,2,5,5,1,5,5,2,2,5,5,1,2,2,5,2,5,5,1,2,2,5,2.5555555555555554,3.0,3.5555555555555554
1,1,5,5,1,2,2,2,5,2,1,5,5,1,5,5,1,5,2,1,2,5,5,5,5,1,5,3.5555555555555554,2.0,4.777777777777778
5,1,2,5,5,2,2,1,5,1,1,5,2,5,5,2,1,5,2,1,2,5,5,5,2,1,2,2.888888888888889,1.8888888888888888,4.111111111111111
5,1,5,5,1,2,1,1,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,3.7777777777777777,2.7777777777777777,4.444444444444445
5,1,5,5,2,2,2,5,5,5,1,5,5,2,5,2,5,2,2,5,2,5,4,1,5,2,5,4.0,2.5555555555555554,4.0
1,1,5,5,1,2,2,1,5,5,1,5,2,5,5,2,1,5,2,5,2,5,1,5,5,1,5,3.2222222222222223,3.2222222222222223,4.777777777777778
5,1,5,5,5,2,5,5,5,1,5,5,2,5,5,2,5,5,5,5,2,5,5,5,5,2,5,3.888888888888889,2.888888888888889,4.777777777777778
5,1,1,2,5,2,2,5,5,2,5,5,1,5,5,2,5,5,2,5,5,5,1,1,2,1,5,2.5555555555555554,3.2222222222222223,3.5555555555555554
5,1,5,5,1,2,1,1,5,1,5,5,2,1,5,2,5,2,2,5,2,5,5,1,2,2,5,2.7777777777777777,2.4444444444444446,4.0
5,1,5,5,1,2,2,1,2,2,2,5,5,5,5,2,1,5,5,1,2,5,3,1,2,1,2,3.6666666666666665,2.6666666666666665,3.6666666666666665
1,2,5,5,2,2,1,2,5,5,1,5,5,5,5,5,5,5,1,1,2,5,5,5,2,1,2,3.3333333333333335,2.0,4.444444444444445
2,2,5,2,5,2,1,5,5,2,1,5,5,5,5,2,1,5,2,1,2,5,3,1,2,1,5,2.5555555555555554,2.6666666666666665,4.333333333333333
5,1,5,5,1,2,2,5,5,1,5,5,1,5,5,5,1,5,1,5,2,5,5,1,5,1,5,3.3333333333333335,3.6666666666666665,4.333333333333333
